5,5.140
16,6.635
34,6.440
35,4.513
36,7.346
38,9.569
40,3.800
41,4.469
42,5.777
45,5.141
50,5.901
79,2.549
96,5.458
106,12.836
171,5.482
172,3.994
251,3.496
401,8.482
1122,3.026
1320,1.500
1322,4.471
1330,3.134
1438,5.054
1452,2.073
1463,3.553
1624,3.731
1699,1.953
1701,4.420
1710,4.381
1741,4.530
1803,8.722
1925,12.583
2002,9.122
2003,6.306
2004,7.776
2014,5.942
2063,5.175
2081,9.672
2095,7.908
2107,4.731
2108,5.636
2109,7.508
2111,6.537
2113,11.854
2116,5.663
2117,7.629
2121,2.949
2123,6.834
2142,2.850
2163,7.640
2222,8.000
2362,11.169
2402,10.764
2413,5.585
2501,6.324
2570,10.378
2571,12.306
2576,8.915
2584,5.893
2585,7.532
2589,5.082
2660,8.747
2683,5.204
2688,7.585
2702,19.986
2710,7.205
2727,17.689
2731,6.920
2757,8.801
2759,6.318
2790,1.890
2797,11.192
2806,5.804
2812,6.004
2819,6.165
2840,3.706
2842,6.266
2852,9.655
2881,10.150
2883,11.662
2915,4.750
2923,4.620
3018,2.405
3022,7.502
3030,8.744
3039,7.734
3040,6.120
3060,7.620
3066,5.062
3076,5.336
3081,11.401
3082,15.084
3085,15.093
3099,4.149
3110,6.402
3131,4.241
3146,4.224
3152,3.954
3165,4.292
3169,4.873
3175,5.035
3178,1.989
3179,2.636
3180,4.838
3220,2.565
3241,4.227
3257,5.097
3339,6.142
3365,5.475
3372,5.904
3383,2.913
3400,7.065
3401,4.655
3501,5.811
3507,4.011
3560,3.115
3568,2.107
3569,2.310
3570,3.182
3572,0.806
3573,1.708
3574,2.273
3577,1.020
3612,3.478
3620,6.857
3632,2.692
3634,2.856
3643,1.566
3647,6.647
3651,3.708
3681,0.480
3682,1.201
3683,0.470
3719,1.587
3724,4.382
3726,2.078
3805,1.420
3808,4.332
3815,5.762
3821,8.635
3828,4.075
3830,1.965
3831,2.918
3840,5.271
4000,3.609
4034,5.863
4036,5.125
4038,7.374
4041,4.263
4049,4.214
4111,2.650
4112,0.346
4114,3.346
4130,7.071
4150,2.655
4239,3.859
4240,6.981
4243,4.696
4244,5.263
4250,4.940
4251,4.914
4279,6.899
4283,3.319
4286,7.381
4295,5.383
4297,0.253
4299,3.719
4304,5.386
4351,2.967
4354,2.366
4361,1.393
4362,1.080
4410,5.954
4420,8.865
4432,5.046
4470,3.186
4478,5.039
4492,5.523
4494,7.134
4495,3.900
4496,5.709
4497,5.623
4498,5.533
4499,5.833
4511,0.542
4512,0.178
4557,4.367
4558,2.901
4611,1.367
4623,5.820
4635,3.585
4665,8.273
4683,3.980
4691,1.972
4692,1.532
4720,4.947
4740,1.358
4771,1.235
4828,3.713
4829,2.081
4831,5.418
4983,5.038
5020,3.493
5027,9.656
5028,5.094
5029,6.373
5040,10.425
5102,6.366
5107,6.384
5108,8.035
5128,1.450
5129,0.420
5130,1.724
5140,2.180
5146,5.906
5160,1.555
5183,5.905
5184,2.972
5185,5.378
5186,2.434
5187,2.817
